,imdbID,Title,Released,Country,Language,Rated,Runtime,Year,imdbRating,imdbVotes,tomatoConsensus,tomatoFresh,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,Nominated Oscars,Won Oscars,Other wins,Other nominations, Action, Adventure, Biography, Comedy, Crime, Drama, Family, Fantasy, History, Horror, Music, Musical, Mystery, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Horror,Musical,Mystery,N/A,Romance,Sci-Fi,Thriller,Western,Unnamed: 0.1,titles_new,wiki_url_new,imdb_link_new,rt_link_new,imdb_id,budget_new,currency_budget,box_office_new,currency_bo,budget_USD,box_USD,A_mean_age,A_mean_credit,D_mean_age,D_mean_credit,mean_rate
0,tt0369610,Jurassic World,2015-06-12 00:00:00,USA,English,PG-13,124.0,2015,7.2,314481,"Jurassic World can't match the original for sheer inventiveness and impact, but it works in its own right as an entertaining -- and visually dazzling -- popcorn thriller.",194.0,71.0,6.7,274.0,80.0,80.0,3.9,206851.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,162.0,Jurassic World,/wiki/Jurassic_World,http://www.imdb.com/title/tt0369610/,http://www.rottentomatoes.com/m/jurassic_world/,tt0369610,150000000.0,USD,652198011.0,USD,,652198011.0,47.4329273438,73.0,38.7433264887,7.0,7.5
4,tt0470752,Ex Machina,2015-04-24 00:00:00,UK,English,R,108.0,2015,7.7,194256,"Ex Machina leans heavier on ideas than effects, but it's still a visually polished piece of work -- and an uncommonly engaging sci-fi feature.",199.0,92.0,8.0,216.0,17.0,85.0,4.0,61929.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,9.0,Ex Machina,/wiki/Ex_Machina_(film),http://www.imdb.com/title/tt0470752/,http://www.rottentomatoes.com/m/ex_machina/,tt0470752,15000000.0,USD,25440971.0,USD,,25440971.0,31.5441331243,31.0,45.3086926762,2.0,7.85
7,tt0478970,Ant-Man,2015-07-17 00:00:00,USA,English,PG-13,117.0,2015,7.6,138824,"Led by a charming performance from Paul Rudd, Ant-Man offers Marvel thrills on an appropriately smaller scale -- albeit not as smoothly as its most successful predecessors.",197.0,79.0,6.8,248.0,51.0,88.0,4.1,148048.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,181.0,Ant-Man,/wiki/Ant-Man_(film),http://www.imdb.com/title/tt0478970/,,tt0478970,130000000.0,USD,178636091.0,USD,,178636091.0,51.5163627246,67.3333333333,51.0362765229,26.0,7.9
10,tt0810819,The Danish Girl,2015-12-25 00:00:00,"UK, Germany, USA","English, German",R,120.0,2015,5.3,2539,,,,,,,,4.1,304.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,242.0,The Danish Girl,/wiki/The_Danish_Girl_(film),http://www.imdb.com/title/tt0810819/,http://www.rottentomatoes.com/m/The_Danish_Girl_2015/,tt0810819,25000000.0,USD,,,,,30.3972299392,25.5,43.2306639288,18.0,6.75
12,tt0884732,The Wedding Ringer,2015-01-16 00:00:00,USA,English,R,101.0,2015,6.7,42323,"Kevin Hart and Josh Gad might be two great comedians that go great together, but there's little evidence of it on display in The Wedding Ringer.",25.0,27.0,4.3,93.0,68.0,65.0,3.6,39352.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,8.0,The Wedding Ringer,/wiki/The_Wedding_Ringer,http://www.imdb.com/title/tt0884732/,http://www.rottentomatoes.com/m/the_wedding_ringer/,tt0884732,23000000.0,USD,64460211.0,USD,,64460211.0,32.9536630905,56.3333333333,39.1293634497,5.0,6.95
15,tt0900387,Suite Française,1929-08-20 00:00:00,"UK, France, Canada, Belgium","English, German, French",,107.0,2014,6.8,6940,,23.0,77.0,6.0,30.0,7.0,,,,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,88.0,Suite Française,/wiki/Suite_Fran%C3%A7aise_(film),http://www.imdb.com/title/tt0900387/,http://www.rottentomatoes.com/m/suite_francaise/,tt0900387,15000000.0,USD,,,,,-40.4330728436,46.3333333333,-38.3655030801,6.0,6.8
18,tt1014763,Child 44,2015-04-17 00:00:00,"USA, UK, Czech Republic, Romania, Russia",English,R,137.0,2015,6.4,28118,"There's a gripping story at the heart of Child 44 and a solid performance from Tom Hardy in the lead, but it all still adds up to a would-be thriller that lacks sufficient thrills.",18.0,25.0,4.7,71.0,53.0,43.0,3.1,11248.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,112.0,Child 44,/wiki/Child_44_(film),http://www.imdb.com/title/tt1014763/,,tt1014763,50000000.0,USD,1206135.0,USD,,1206135.0,36.5883890237,44.0,38.0670773443,7.0,6.3
20,tt1018765,Our Brand Is Crisis,2015-10-30 00:00:00,USA,"English, Spanish",R,107.0,2015,5.6,1443,"Our Brand Is Crisis offers sporadic amusement and benefits from a talented cast, but ultimately lacks enough of a bite to add much of interest to the political satire genre.",37.0,33.0,5.3,113.0,76.0,43.0,3.1,5341.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,255.0,Our Brand Is Crisis,/wiki/Our_Brand_Is_Crisis_(2015_film),http://www.imdb.com/title/tt1018765/,http://www.rottentomatoes.com/m/our_brand_is_crisis_2016/,tt1018765,28000000.0,USD,,,,,51.3553235178,62.6666666667,40.5585215606,18.0,5.9
23,tt1029360,Poltergeist,2015-05-22 00:00:00,"USA, Canada",English,PG-13,93.0,2015,5.0,32812,"Paying competent homage without adding anything of real value to the original Poltergeist, this remake proves just as ephemeral (but half as haunting) as its titular spirit.",32.0,31.0,4.8,102.0,70.0,23.0,2.5,35883.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,153.0,Poltergeist,/wiki/Poltergeist_(2015_film),http://www.imdb.com/title/tt1029360/,http://www.rottentomatoes.com/m/poltergeist-2009/,tt1029360,35000000.0,USD,47415690.0,USD,,47415690.0,45.5901437372,62.5,38.5954825462,3.0,5.0
25,tt1137470,Accidental Love,2015-02-10 00:00:00,"USA, UK",English,PG-13,100.0,2015,4.1,3562,,2.0,7.0,3.2,29.0,27.0,16.0,2.0,4625.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,61.0,Accidental Love,/wiki/Accidental_Love,http://www.imdb.com/title/tt1137470/,http://www.rottentomatoes.com/m/accidental_love/,tt1137470,26000000.0,USD,,,,,31.6857175451,24.0,56.476386037,12.0,4.05
27,tt1178665,A Walk in the Woods,2015-09-02 00:00:00,USA,English,R,104.0,2015,6.5,3392,"Amiable yet less compelling than any road trip movie starring Robert Redford and Nick Nolte should be, A Walk in the Woods is ultimately a bit too pedestrian.",62.0,44.0,5.4,140.0,78.0,56.0,3.4,10027.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,11.0,A Walk in the Woods,/wiki/A_Walk_in_the_Woods_(film),http://www.imdb.com/title/tt1178665/,,tt1178665,,,28817976.0,USD,,28817976.0,70.7991188262,79.3333333333,58.0424366872,35.0,6.65
30,tt1243974,Aloha,2015-05-29 00:00:00,USA,English,PG-13,105.0,2015,5.5,26271,"Meandering and insubstantial, Aloha finds writer-director Cameron Crowe at his most sentimental and least compelling.",26.0,19.0,4.3,139.0,113.0,30.0,2.6,28683.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,159.0,Aloha,/wiki/Aloha_(film),http://www.imdb.com/title/tt1243974/,http://www.rottentomatoes.com/m/aloha_2015/,tt1243974,37000000.0,USD,20991497.0,USD,,20991497.0,47.0205741434,51.0,57.8754277892,13.0,5.35
34,tt1322393,Faith of Our Fathers,2015-07-01 00:00:00,USA,English,PG-13,96.0,2015,2.8,339,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,183.0,Faith of Our Fathers,/wiki/Faith_of_Our_Fathers_(film),http://www.imdb.com/title/tt1322393/,,tt1322393,,,986472.0,USD,,986472.0,47.9054388459,71.5,50.0260095825,2.0,2.8
36,tt1340138,Terminator Genisys,2015-07-01 00:00:00,USA,English,PG-13,126.0,2015,6.7,136706,"Mired in its muddled mythology, Terminator: Genisys is a lurching retread that lacks the thematic depth, conceptual intelligence, or visual thrills that launched this once-mighty franchise.",55.0,25.0,4.7,217.0,162.0,58.0,3.4,78290.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,175.0,Terminator Genisys,/wiki/Terminator_Genisys,http://www.imdb.com/title/tt1340138/,http://www.rottentomatoes.com/m/terminator_genesis/,tt1340138,155000000.0,USD,89760956.0,USD,,89760956.0,54.5578479624,42.0,50.4941820671,32.0,6.75
39,tt1355683,Black Mass,2015-09-18 00:00:00,"USA, UK",English,R,122.0,2015,7.2,46099,Black Mass spins a gripping yarn out of its fact-based story -- and leaves audiences with one of Johnny Depp's most compelling performances in years.,171.0,75.0,6.6,229.0,58.0,73.0,3.7,44682.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,235.0,Black Mass,/wiki/Black_Mass_(film),http://www.imdb.com/title/tt1355683/,http://www.rottentomatoes.com/m/black_mass_2015/,tt1355683,65000000.0,USD,57557218.0,USD,,57557218.0,42.6509300818,56.5,45.711156742,3.0,7.3
43,tt1390411,In the Heart of the Sea,2015-12-11 00:00:00,USA,English,PG-13,121.0,2015,,,,,,,,,,4.1,24469.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,304.0,In the Heart of the Sea,/wiki/In_the_Heart_of_the_Sea_(film),http://www.imdb.com/title/tt1390411/,,tt1390411,,,,,,,36.8532238193,37.5,61.7796030116,38.0,
45,tt1392190,Mad Max: Fury Road,2015-05-15 00:00:00,"Australia, USA","English, Russian",R,120.0,2015,8.2,370371,"With exhilarating action and a surprising amount of narrative heft, Mad Max: Fury Road brings George Miller's post-apocalyptic franchise roaring vigorously back to life.",304.0,97.0,8.6,313.0,9.0,87.0,4.2,110277.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,127.0,Mad Max: Fury Road,/wiki/Mad_Max:_Fury_Road,http://www.imdb.com/title/tt1392190/,http://www.rottentomatoes.com/m/mad_max_fury_road/,tt1392190,150000000.0,USD,153636354.0,USD,,153636354.0,34.5988645972,45.3333333333,70.1984941821,16.0,8.3
48,tt1398426,Straight Outta Compton,2015-08-14 00:00:00,USA,English,R,147.0,2015,8.2,52785,"Straight Outta Compton is a biopic that's built to last, thanks to F. Gary Gray's confident direction and engaging performances from a solid cast.",164.0,89.0,7.4,184.0,20.0,94.0,4.4,59150.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,214.0,Straight Outta Compton,/wiki/Straight_Outta_Compton_(2015_film),http://www.imdb.com/title/tt1398426/,http://www.rottentomatoes.com/m/straight_outta_compton/,tt1398426,28000000.0,USD,160902085.0,USD,,160902085.0,1.62691517928,6.5,46.0752908966,21.0,8.5
50,tt1502712,Fantastic Four,2015-08-07 00:00:00,"USA, Germany, UK, Canada",English,PG-13,100.0,2015,4.3,75679,"Dull and downbeat, this Fantastic Four proves a woefully misguided attempt to translate a classic comic series without the humor, joy, or colorful thrills that made it great.",19.0,10.0,3.4,198.0,179.0,20.0,2.1,132178.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,208.0,Fantastic Four,/wiki/Fantastic_Four_(2015_film),http://www.imdb.com/title/tt1502712/,,tt1502712,120000000.0,USD,56086051.0,USD,,56086051.0,30.4958805486,36.0,31.4633812457,3.0,4.25
53,tt1524575,The Vatican Tapes,2015-07-24 00:00:00,USA,"English, Aramaic",PG-13,91.0,2015,4.5,4118,,6.0,18.0,4.0,33.0,27.0,21.0,2.3,1816.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,202.0,The Vatican Tapes,/wiki/The_Vatican_Tapes,http://www.imdb.com/title/tt1524575/,http://www.rottentomatoes.com/m/the_vatican_tapes/,tt1524575,8495000.0,USD,1712111.0,USD,,1712111.0,44.3338779058,68.5,42.2012320329,5.0,4.55
55,tt1524930,Vacation,2015-07-29 00:00:00,USA,English,R,99.0,2015,6.2,33638,"Borrowing a basic storyline from the film that inspired it but forgetting the charm, wit, and heart, Vacation is yet another nostalgia-driven retread that misses the mark.",40.0,27.0,4.1,147.0,107.0,51.0,3.2,33745.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,204.0,Vacation,/wiki/Vacation_(2015_film),http://www.imdb.com/title/tt1524930/,http://www.rottentomatoes.com/m/vacation_2013/,tt1524930,31000000.0,USD,58787835.0,USD,,58787835.0,36.3363273797,59.6666666667,30.0232717317,3.0,6.3
58,tt1596345,Pawn Sacrifice,2015-09-25 00:00:00,USA,English,PG-13,115.0,2014,7.2,2849,"Anchored by a sensitive performance from Tobey Maguire, Pawn Sacrifice adds another solidly gripping drama to the list of films inspired by chess wiz Bobby Fischer.",57.0,70.0,6.5,81.0,24.0,72.0,3.7,9642.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,256.0,Pawn Sacrifice,/wiki/Pawn_Sacrifice,http://www.imdb.com/title/tt1596345/,http://www.rottentomatoes.com/m/pawn_sacrifice/,tt1596345,,,2319453.0,USD,,2322375.63462,46.5007039393,61.5,62.9623545517,23.0,7.3
60,tt1596363,The Big Short,2015-12-23 00:00:00,USA,English,,130.0,2015,8.2,48,,,,,,,,4.1,2278.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,47.9660506502,62.5,47.6824093087,18.0,8.2
62,tt1617661,Jupiter Ascending,2015-02-06 00:00:00,"USA, Australia","English, Russian",PG-13,127.0,2015,5.4,118592,"Pleasing to the eye but narratively befuddled, Jupiter Ascending delivers another visually thrilling misfire from the Wachowskis.",55.0,26.0,4.2,212.0,157.0,39.0,2.9,93837.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,33.0,Jupiter Ascending,/wiki/Jupiter_Ascending,http://www.imdb.com/title/tt1617661/,http://www.rottentomatoes.com/m/jupiter_ascending_2014/,tt1617661,176000000.0,USD,47387723.0,USD,,47387723.0,32.8985626283,41.6666666667,47.1074606434,11.0,5.6
