,Movie,Winning probability
1,Straight Outta Compton,0.175526677344
2,Sisters,0.177287153145
3,Avengers: Age of Ultron,0.269235613577
4,The Dressmaker,0.179751868121
5,The Hateful Eight,0.306534722794
6,The Martian,0.265530346257
7,Muhammad: The Messenger of God,0.415486789578
