,imdbID,Title,Released,Country,Language,Rated,Runtime,Year,imdbRating,imdbVotes,tomatoConsensus,tomatoFresh,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,Nominated Oscars,Won Oscars,Other wins,Other nominations,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,N/A,Romance,Sci-Fi,Sport,Thriller,War,Western,wiki_url_new,imdb_link_new,rt_link_new,budget_USD,box_USD,A_mean_age,A_mean_credit,D_mean_age,D_mean_credit,mean_rate
164,tt2395427,Avengers: Age of Ultron,2015-05-01 00:00:00,USA,English,PG-13,141.0,2015,7.7,336332,"Exuberant and eye-popping, Avengers: Age of Ultron serves as an overstuffed but mostly satisfying sequel, reuniting its predecessor's unwieldy cast with a few new additions and a worthy foe.",213.0,74.0,6.7,287.0,74.0,85.0,4.1,278217.0,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,/wiki/Avengers:_Age_of_Ultron,http://www.imdb.com/title/tt2395427/,,,459005868.0,43.7767559039,53.25,50.8528405202,13.0,7.95
168,tt2401878,Anomalisa,2016-01-01 00:00:00,USA,English,R,90.0,2015,8.1,1019,,,,,,,,,,0,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Anomalisa,http://www.imdb.com/title/tt2401878/,,,,56.8161392516,84.3333333333,36.7857631759,6.0,8.1
171,tt2402927,Carol,2015-11-20 00:00:00,"UK, USA, France",English,R,118.0,2015,7.5,2660,,,,,,,,,,0,0,0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,/wiki/Carol_(film),http://www.imdb.com/title/tt2402927/,,,,41.6324124199,44.0,54.8802190281,16.0,7.5
173,tt2446980,Joy,2015-12-25 00:00:00,USA,English,PG-13,,2015,,,,,,,,,,3.6,14181.0,0,0,0,0,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Joy_(film),http://www.imdb.com/title/tt2446980/,,,,56.4260327601,63.0,57.3470225873,12.0,
176,tt2488496,Star Wars: The Force Awakens,2015-12-18 00:00:00,USA,English,PG-13,135.0,2015,,,,,,,,,,4.7,81151.0,0,0,0,0,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Star_Wars:_The_Force_Awakens,http://www.imdb.com/title/tt2488496/,,,,63.0207420326,182.5,49.4757015743,12.0,
178,tt2503944,Burnt,2015-10-30 00:00:00,USA,"French, English, Spanish",R,101.0,2015,6.7,5438,,,,,,,,,,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Burnt_(film),http://www.imdb.com/title/tt2503944/,http://www.rottentomatoes.com/m/burnt/,,,37.7990168627,51.3333333333,59.4223134839,7.0,6.7
181,tt2510894,Hotel Transylvania 2,2015-09-25 00:00:00,USA,English,PG,89.0,2015,7.0,16929,"Hotel Transylvania 2 is marginally better than the original, which may or may not be enough of a recommendation to watch 89 minutes of corny, colorfully animated gags from Adam Sandler and company.",43.0,52.0,5.1,83.0,40.0,70.0,3.8,79262.0,0,0,0,0,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Hotel_Transylvania_2,http://www.imdb.com/title/tt2510894/,http://www.rottentomatoes.com/m/hotel_transylvania_2/,,116942033.0,40.5019768893,42.5,45.6865160849,17.0,7.3
185,tt2515034,The Gunman,2015-03-20 00:00:00,"USA, Spain, UK, France","English, Spanish",R,115.0,2015,5.8,22011,"With an uninspired plot and rote set pieces that are overshadowed by its star's physique, The Gunman proves a muddled misfire in the rapidly aging Over-50 Action Hero genre.",24.0,16.0,4.4,150.0,126.0,33.0,2.8,12978.0,0,0,0,0,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/The_Gunman_(film),http://www.imdb.com/title/tt2515034/,http://www.rottentomatoes.com/m/prone_gunman/,,10640645.0,54.6473826742,69.0,50.8528405202,9.0,5.7
188,tt2552394,Barney Thomson,2015-07-24 00:00:00,"Canada, UK",English,,96.0,2015,6.9,523,,,,,,,,,,0,0,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/The_Legend_of_Barney_Thomson,http://www.imdb.com/title/tt2552394/,,,,60.4900214315,76.25,54.2751540041,2.0,6.9
192,tt2554274,Crimson Peak,2015-10-16 00:00:00,"USA, Canada",English,R,119.0,2015,6.9,33440,Crimson Peak offers an engaging -- albeit somewhat slight -- diversion driven by a delightfully creepy atmosphere and director Guillermo del Toro's brilliant knack for unforgettable visuals.,135.0,69.0,6.5,195.0,60.0,61.0,3.4,28569.0,0,0,0,0,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,/wiki/Crimson_Peak,http://www.imdb.com/title/tt2554274/,,,761069.0,33.5186271634,37.3333333333,51.0171115674,18.0,6.85
