,imdbID,Title,Released,Country,Language,Rated,Runtime,Year,imdbRating,imdbVotes,tomatoConsensus,tomatoFresh,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,Nominated Oscars,Won Oscars,Other wins,Other nominations,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,N/A,Romance,Sci-Fi,Sport,Thriller,War,Western,wiki_url_new,imdb_link_new,rt_link_new,budget_USD,box_USD,A_mean_age,A_mean_credit,D_mean_age,D_mean_credit,mean_rate
266,tt3079380,Spy,2015-06-05 00:00:00,USA,"English, French, Italian, German",R,119.0,2015,7.2,113509,"Simultaneously broad and progressive, Spy offers further proof that Melissa McCarthy and writer-director Paul Feig bring out the best in one another -- and delivers scores of belly laughs along the way.",197.0,93.0,7.2,211.0,14.0,80.0,3.9,76761.0,0,0,0,0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Spy_(2015_film),http://www.imdb.com/title/tt3079380/,http://www.rottentomatoes.com/m/spy_2015/,,110822419.0,43.3544479705,49.5,52.7145790554,23.0,7.5
268,tt3083008,The Program,2015-09-16 00:00:00,"UK, France",English,,103.0,2015,6.5,1276,,,,,,,,,,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,/wiki/The_Program_(2015_film),http://www.imdb.com/title/tt3083008/,,,,32.6140798985,41.0,74.2395619439,61.0,6.5
271,tt3110770,Road Hard,2015-03-06 00:00:00,USA,English,,98.0,2015,6.1,1141,,12.0,55.0,5.6,22.0,10.0,77.0,4.0,2834.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Road_Hard,http://www.imdb.com/title/tt3110770/,http://www.rottentomatoes.com/m/road_hard/,,105943.0,50.7734428474,40.0,50.7734428474,4.0,7.05
272,tt3152624,Trainwreck,2015-07-17 00:00:00,USA,English,R,125.0,2015,6.5,47649,"Trainwreck drags commitment out of all but the most rom-com-phobic filmgoers with sharp humor, relatable characters, and hilarious work from Amy Schumer.",187.0,85.0,7.1,220.0,33.0,72.0,3.7,60548.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,/wiki/Trainwreck_(film),http://www.imdb.com/title/tt3152624/,http://www.rottentomatoes.com/m/trainwreck/,,110008260.0,34.1245722108,16.0,47.6112251882,14.0,6.95
273,tt3164256,Rock the Kasbah,2015-10-23 00:00:00,USA,English,R,106.0,2015,5.3,686,"The Shareef don't like Rock the Kasbah, and neither will viewers hoping for a film that manages to make effective use of Bill Murray's knack for playing lovably anarchic losers.",7.0,8.0,3.6,85.0,78.0,39.0,2.8,10510.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,/wiki/Rock_the_Kasbah_(film),http://www.imdb.com/title/tt3164256/,http://www.rottentomatoes.com/m/rock_the_kasbah/,,,54.3201146475,64.0,73.5468856947,39.0,5.45
275,tt3165612,Sleeping with Other People,2015-08-12 00:00:00,USA,English,R,101.0,2015,6.5,1564,"Sleeping with Other People has likable leads and flashes of inspiration, but seems unwilling or unable to surround them with the truly subversive rom-com they deserve.",59.0,61.0,6.1,97.0,38.0,64.0,3.5,4248.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Sleeping_with_Other_People,http://www.imdb.com/title/tt3165612/,http://www.rottentomatoes.com/m/sleeping_with_other_people/,,763004.0,36.067149393,47.5,-0.281998631075,2.0,6.75
277,tt3168230,Mr. Holmes,2015-07-17 00:00:00,"UK, USA","English, Japanese, French",PG,104.0,2015,7.1,18768,"Mr. Holmes focuses on the man behind the mysteries, and while it may lack Baker Street thrills, it more than compensates with tenderly wrought, well-acted drama.",134.0,87.0,7.1,154.0,20.0,74.0,3.8,28362.0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,/wiki/Mr._Holmes,http://www.imdb.com/title/tt3168230/,http://www.rottentomatoes.com/m/mr_holmes/,,17693228.0,62.9272583227,84.6666666667,59.7344284736,18.0,7.35
280,tt3170832,Room,2015-11-25 00:00:00,"Ireland, Canada",English,R,118.0,2015,8.1,2137,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Room_(2015_film),http://www.imdb.com/title/tt3170832/,http://www.rottentomatoes.com/m/room_2015/,,,37.939018248,53.0,48.9856262834,8.0,8.1
282,tt3172532,The Diary of a Teenage Girl,2015-08-28 00:00:00,USA,English,R,102.0,2015,7.2,2416,"Boldly unconventional and refreshingly honest, Diary of a Teenage Girl is a frank coming-of-age story that addresses its themes -- and its protagonist -- without judgment.",112.0,94.0,7.9,119.0,7.0,80.0,3.9,6649.0,0,0,0,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,/wiki/The_Diary_of_a_Teenage_Girl,http://www.imdb.com/title/tt3172532/,http://www.rottentomatoes.com/m/the_diary_of_a_teenage_girl/,,1471799.0,38.7622679462,49.0,35.9069130732,1.0,7.5
285,tt3181822,The Boy Next Door,2015-01-23 00:00:00,USA,English,R,91.0,2015,4.6,21905,"The Boy Next Door may get a few howls out of fans of stalker thrillers, but for most viewers, it won't even rise to ""so bad it's good"" status.",12.0,10.0,3.3,116.0,104.0,34.0,2.8,27879.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,/wiki/The_Boy_Next_Door_(film),http://www.imdb.com/title/tt3181822/,http://www.rottentomatoes.com/m/the_boy_next_door_2015/,,35385560.0,41.4647501711,27.0,65.8672142368,24.0,5.1
287,tt3195644,Insidious: Chapter 3,2015-06-05 00:00:00,"Canada, USA",English,PG-13,97.0,2015,6.2,39159,"Insidious: Chapter 3 isn't as terrifying as the original, although it boasts surprising thematic depth and is enlivened by another fine performance from Lin Shaye.",59.0,60.0,5.5,99.0,40.0,54.0,3.4,30636.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,/wiki/Insidious:_Chapter_3,http://www.imdb.com/title/tt3195644/,http://www.rottentomatoes.com/m/insidious_chapter_3_2015/,,52218558.0,31.4834476887,54.6666666667,38.379192334,1.0,6.5
290,tt3203606,Trumbo,2015-11-25 00:00:00,USA,English,R,124.0,2015,7.6,1780,,,,,,,,,,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Trumbo_(2015_film),http://www.imdb.com/title/tt3203606/,,,,59.7180013689,140.0,58.4476386037,16.0,7.6
291,tt3233418,Spare Parts,2015-06-05 00:00:00,USA,English,PG-13,83.0,2015,7.2,5985,,14.0,52.0,5.6,27.0,13.0,83.0,4.1,6439.0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Spare_Parts_(film),http://www.imdb.com/title/tt3233418/,http://www.rottentomatoes.com/m/spare_parts_2015/,,3610933.0,51.3648390491,44.6666666667,53.0732375086,54.0,7.7
294,tt3268668,Captive,2015-09-18 00:00:00,USA,English,PG-13,97.0,2015,5.8,516,,,,,,,,,,0,0,0,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,/wiki/Captive_(2015_film),http://www.imdb.com/title/tt3268668/,http://www.rottentomatoes.com/m/captive_2015/,,2557668.0,47.5132329455,72.0,80.810403833,74.0,5.8
297,tt3294200,The Falling,2015-04-24 00:00:00,UK,English,,102.0,2014,5.5,2042,"Well-acted and overall unsettling, The Falling delivers thought-provoking thrills -- and suggests a bright future for writer-director Carol Morley.",21.0,78.0,7.0,27.0,6.0,41.0,2.9,1629.0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,/wiki/The_Falling_(film),http://www.imdb.com/title/tt3294200/,,,359534.462492,36.3376905227,41.0,49.273100616,6.0,5.65
299,tt3312830,Youth,2015-12-04 00:00:00,"Italy, France, Switzerland, UK","English, Spanish, Swiss German",R,118.0,2015,7.5,13839,"Gorgeously filmed and beautifully acted, Youth offers an enticing -- albeit flawed -- opportunity to witness an impressive array of seasoned veterans combining their cinematic might.",27.0,79.0,7.5,34.0,7.0,,,,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Youth_(2015_film),http://www.imdb.com/title/tt3312830/,,,5995008.0,74.6458156901,118.0,45.5112936345,22.0,7.5
302,tt3316948,American Ultra,2015-08-21 00:00:00,"USA, Switzerland",English,R,96.0,2015,6.2,15843,"American Ultra has some interesting ideas, but like its stoned protagonist, it's too easily distracted to live up to its true potential.",63.0,44.0,5.4,142.0,79.0,48.0,3.2,15949.0,0,0,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/American_Ultra,http://www.imdb.com/title/tt3316948/,http://www.rottentomatoes.com/m/american_ultra/,,14434604.0,34.9124448783,40.6666666667,37.7713894593,2.0,6.3
305,tt3319920,Regression,2016-02-05 00:00:00,"Spain, Canada",English,,106.0,2015,5.9,3109,,1.0,6.0,3.9,18.0,17.0,,2.6,3518.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,/wiki/Regression_(film),http://www.imdb.com/title/tt3319920/,,,,46.7001292874,57.0,43.8494182067,10.0,5.55
308,tt3321300,MI-5,2015-12-04 00:00:00,UK,English,R,104.0,2015,6.3,6517,,,,,,,,,,0,0,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,/wiki/Spooks:_The_Greater_Good,http://www.imdb.com/title/tt3321300/,http://www.rottentomatoes.com/m/spooks_the_greater_good/,,,62.1026694045,92.0,50.9212867899,19.0,6.3
309,tt3327624,Infini,2015-05-20 00:00:00,Australia,English,R,110.0,2015,5.4,7563,,5.0,36.0,4.9,14.0,9.0,34.0,2.8,733.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,/wiki/Infini,http://www.imdb.com/title/tt3327624/,,,,17.2772073922,15.0,-0.511978097194,4.0,5.5
311,tt3332064,Pan,2015-10-09 00:00:00,"USA, UK, Australia",English,PG,111.0,2015,6.0,9615,,,,,,,,,,0,0,0,0,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Pan_(2015_film),http://www.imdb.com/title/tt3332064/,http://www.rottentomatoes.com/m/pan_2015/,,15315435.0,37.3510518771,26.5,43.7700205339,12.0,6.0
315,tt3340908,Honey Night,2015-04-17 00:00:00,Republic of Macedonia,Macedonian,,,2015,7.5,32,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Honey_Night,http://www.imdb.com/title/tt3340908/,,,,46.2286105407,25.0,49.8042436687,9.0,7.5
316,tt3369806,Max,2015-06-26 00:00:00,USA,English,PG,111.0,2015,6.8,12308,"Max has good intentions and tries to hearken back to classic family-friendly features, but its disjointed, manipulative plot overwhelms the efforts of its talented human and canine stars.",30.0,35.0,4.8,85.0,55.0,72.0,3.9,21710.0,0,0,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Max_(2015_film),http://www.imdb.com/title/tt3369806/,http://www.rottentomatoes.com/m/max_2016/,,42652003.0,47.6357982441,40.5,49.4811772758,8.0,7.3
318,tt3397884,Sicario,2015-10-02 00:00:00,USA,"English, Spanish",R,121.0,2015,8.0,42698,"Led by outstanding work from Emily Blunt and Benicio del Toro, Sicario is a taut, tightly wound thriller with much more on its mind than attention-getting set pieces.",189.0,93.0,8.0,204.0,15.0,88.0,4.1,41476.0,0,0,0,0,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Sicario_(2015_film),http://www.imdb.com/title/tt3397884/,,,26935340.0,44.1379950296,49.6666666667,47.9972621492,17.0,8.1
321,tt3450650,Paul Blart: Mall Cop 2,2015-04-17 00:00:00,USA,English,PG,94.0,2015,4.4,18597,"Bathed in flop sweat and bereft of purpose, Paul Blart: Mall Cop 2 strings together fat-shaming humor and Segway sight gags with uniformly unfunny results.",3.0,5.0,2.5,55.0,52.0,35.0,2.7,36428.0,0,0,0,0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Paul_Blart:_Mall_Cop_2,http://www.imdb.com/title/tt3450650/,http://www.rottentomatoes.com/m/paul_blart_mall_cop_2/,,71038190.0,37.5744832307,25.0,-0.602327173169,13.0,4.9
323,tt3460252,The Hateful Eight,2016-01-08 00:00:00,USA,English,,182.0,2015,,,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,/wiki/The_Hateful_Eight,http://www.imdb.com/title/tt3460252/,http://www.rottentomatoes.com/m/the_hateful_eight/,,,58.5801413009,98.3333333333,52.7857631759,17.0,
326,tt3464902,The Lobster,2015-10-16 00:00:00,"Ireland, UK, Greece, France, Netherlands, USA","English, French",,118.0,2015,7.7,7382,"As strange as it is thrillingly ambitious, The Lobster is definitely an acquired taste -- but for viewers with the fortitude to crack through Yorgos Lanthimos' offbeat sensibilities, it should prove a savory cinematic treat.",45.0,92.0,7.6,49.0,4.0,,,,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,/wiki/The_Lobster,http://www.imdb.com/title/tt3464902/,,,615408.0,47.8740859712,67.3333333333,42.7871321013,10.0,7.7
329,tt3488710,The Walk,2015-10-09 00:00:00,USA,"English, French",PG,123.0,2015,7.7,19298,"The Walk attempts a tricky balancing act between thrilling visuals and fact-based drama -- and like its wire-walking protagonist, pulls it off with impressive élan.",173.0,85.0,7.2,203.0,30.0,84.0,3.9,27658.0,0,0,0,0,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/The_Walk_(2015_film),http://www.imdb.com/title/tt3488710/,http://www.rottentomatoes.com/m/to_reach_the_clouds_2017/,,6430676.0,34.6392881588,70.0,64.4052019165,26.0,7.75
330,tt3508840,The Assassin,2015-08-27 00:00:00,"Taiwan, China, Hong Kong, France",Mandarin,,105.0,2015,6.6,3263,,,,,,,,,,0,0,0,2,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/The_Assassin_(2015_film),http://www.imdb.com/title/tt3508840/,http://www.rottentomatoes.com/m/the_assassin_2015/,,,37.5312343144,60.0,68.386036961,21.0,6.6
333,tt3567288,The Visit,2015-09-11 00:00:00,USA,English,PG-13,94.0,2015,6.4,25833,The Visit provides horror fans with a satisfying blend of thrills and laughs -- and also signals a welcome return to form for writer-director M. Night Shyamalan.,119.0,63.0,5.7,189.0,70.0,56.0,3.3,27622.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,/wiki/The_Visit_(2015_film),http://www.imdb.com/title/tt3567288/,,,61158030.0,51.8519950074,17.0,45.0978781656,14.0,6.5
336,tt3569230,Legend,2015-11-20 00:00:00,"UK, France",English,R,131.0,2015,7.5,14530,,,,,,,,,,0,0,0,0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,/wiki/Legend_(2015_film),http://www.imdb.com/title/tt3569230/,http://www.rottentomatoes.com/m/legend_2015/,,,38.1793292266,48.0,54.8391512663,7.0,7.5
337,tt3585004,Zhongkui: Snow Girl and the Dark Crystal,2015-02-19 00:00:00,"China, Hong Kong, USA",Mandarin,,118.0,2015,5.1,594,,,,,,,26.0,2.7,221.0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Zhong_Kui:_Snow_Girl_and_the_Dark_Crystal,http://www.imdb.com/title/tt3585004/,,,131076.0,47.8301554708,37.3333333333,63.1348391513,3.0,5.25
340,tt3595298,Prem Ratan Dhan Payo,2015-11-12 00:00:00,India,Hindi,,164.0,2015,5.3,6399,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,/wiki/Prem_Ratan_Dhan_Payo,http://www.imdb.com/title/tt3595298/,http://www.rottentomatoes.com/m/prem_ratan_dhan_payo/,,,45.4003576185,43.0,50.4750171116,8.0,5.3
343,tt3605418,Knock Knock,2015-10-09 00:00:00,"Chile, USA","English, Spanish",R,99.0,2015,5.0,25102,"Knock Knock brings a lot of talent to bear on its satirical approach to torture horror, but not effectively enough to overcome its repetitive story or misguidedly campy tone.",19.0,32.0,5.2,59.0,40.0,22.0,2.3,5146.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,/wiki/Knock_Knock_(2015_film),http://www.imdb.com/title/tt3605418/,http://www.rottentomatoes.com/m/771412068/,,,44.5551917421,37.0,43.4743326489,14.0,4.8
346,tt3614530,Jem and the Holograms,2015-10-23 00:00:00,USA,English,PG,118.0,2015,3.2,1187,Jem and the Holograms ignores its source material's goofy charm in favor of bland by-the-numbers drama.,11.0,19.0,3.5,57.0,46.0,49.0,2.9,4499.0,0,0,0,0,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Jem_and_the_Holograms_(film),http://www.imdb.com/title/tt3614530/,http://www.rottentomatoes.com/m/jem_and_the_holograms_2015/,,,16.3345908346,14.3333333333,35.9726214921,13.0,4.5
349,tt3616916,The Wave,1929-08-20 00:00:00,Norway,Norwegian,,104.0,2015,7.2,1616,,,,,,,,,,0,0,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,/wiki/The_Wave_(2015_film),http://www.imdb.com/title/tt3616916/,,,,-40.0681380348,50.3333333333,-44.0136892539,11.0,7.2
352,tt3623668,Under Milk Wood,2015-10-30 00:00:00,UK,"English, Welsh",,87.0,2015,7.0,34,,5.0,31.0,5.1,16.0,11.0,,,,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Under_Milk_Wood_(2015_film),http://www.imdb.com/title/tt3623668/,,,,46.7840457968,36.6666666667,53.1225188227,8.0,7.0
355,tt3623726,Ricki and the Flash,2015-08-07 00:00:00,USA,English,PG-13,101.0,2015,6.0,6668,Meryl Streep's outstanding work helps Ricki and the Flash overcome its inconsistent tone and fairly predictable premise.,103.0,64.0,6.0,161.0,58.0,49.0,3.2,14272.0,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,/wiki/Ricki_and_the_Flash,http://www.imdb.com/title/tt3623726/,http://www.rottentomatoes.com/m/ricki_and_the_flash/,,26822144.0,66.1245722108,76.0,71.4551676934,57.0,6.2
356,tt3659388,The Martian,2015-10-02 00:00:00,"USA, UK","English, Mandarin",PG-13,144.0,2015,8.2,161007,"Smart, thrilling, and surprisingly funny, The Martian offers a faithful adaptation of the bestselling book that brings out the best in leading man Matt Damon and director Ridley Scott.",249.0,93.0,7.9,268.0,19.0,93.0,4.3,93290.0,0,0,0,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/The_Martian_(film),http://www.imdb.com/title/tt3659388/,http://www.rottentomatoes.com/m/the_martian/,,108715595.0,42.492998517,64.0,77.8370978782,36.0,8.4
359,tt3682448,Bridge of Spies,2015-10-16 00:00:00,"USA, India, Germany","English, German, Russian",PG-13,141.0,2015,8.1,17594,"Bridge of Spies finds new life in Hollywood's classic Cold War espionage thriller formula, thanks to reliably outstanding work from Steven Spielberg and Tom Hanks.",209.0,92.0,7.8,228.0,19.0,90.0,4.2,38652.0,0,0,0,0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,/wiki/Bridge_of_Spies_(film),http://www.imdb.com/title/tt3682448/,http://www.rottentomatoes.com/m/bridge_of_spies/,,,55.742642026,25.0,68.8268309377,55.0,8.25
360,tt3704050,Remember,2016-01-15 00:00:00,"Canada, Germany","English, German",R,95.0,2015,7.2,268,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,/wiki/Remember_(2015_film),http://www.imdb.com/title/tt3704050/,,,,76.8636478259,177.333333333,55.4907597536,39.0,7.2
363,tt3707106,By the Sea,2015-12-09 00:00:00,"USA, France","English, French",R,132.0,2015,5.7,542,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,/wiki/By_the_Sea_(2015_film),http://www.imdb.com/title/tt3707106/,http://www.rottentomatoes.com/m/by_the_sea_2015/,,,44.0538672142,53.3333333333,40.514715948,5.0,5.7
366,tt3715320,Irrational Man,2015-08-07 00:00:00,USA,English,R,95.0,2015,6.8,8689,"Irrational Man may prove rewarding for the most ardent Joaquin Phoenix fans or Woody Allen apologists, but all others most likely need not apply.",65.0,42.0,5.4,156.0,91.0,53.0,3.3,4487.0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,/wiki/Irrational_Man_(film),http://www.imdb.com/title/tt3715320/,,,3996947.0,34.7141903482,40.5,79.6824093087,52.0,6.7
368,tt3722070,The Lady in the Van,2016-01-15 00:00:00,UK,English,PG-13,104.0,2015,6.4,425,,16.0,100.0,7.0,16.0,0.0,,4.1,1106.0,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/The_Lady_in_the_Van,http://www.imdb.com/title/tt3722070/,http://www.rottentomatoes.com/m/the_lady_in_the_van_2015/,,,63.7427861234,66.5,59.6906228611,6.0,7.3
370,tt3735246,Bajirao Mastani,2015-12-18 00:00:00,India,Hindi,,,2015,,,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,/wiki/Bajirao_Mastani_(film),http://www.imdb.com/title/tt3735246/,,,,32.0323927739,29.6666666667,52.8131416838,9.0,
373,tt3742378,The Second Mother,2015-08-28 00:00:00,Brazil,Portuguese,R,112.0,2015,8.2,3036,"The Second Mother's compelling characters serve an artfully drawn, thought-provoking story that's beautifully brought to life by a talented cast.",63.0,95.0,8.0,66.0,3.0,95.0,4.5,1367.0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/The_Second_Mother_(2015_film),http://www.imdb.com/title/tt3742378/,http://www.rottentomatoes.com/m/que_horas_ela_volta/,,335281.0,61.5030800821,36.0,51.3511293634,9.0,8.6
374,tt3774092,Amnesia,2015-08-19 00:00:00,"Switzerland, France","German, Spanish, English",,96.0,2015,5.5,106,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Amnesia_(2015_film),http://www.imdb.com/title/tt3774092/,,,,63.1271137428,86.0,73.9794661191,22.0,5.5
377,tt3781476,Monster Hunt,2015-07-16 00:00:00,"China, Hong Kong",Mandarin,,111.0,2015,6.3,1229,,,,,,,48.0,3.2,111.0,0,0,0,0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Monster_Hunt,http://www.imdb.com/title/tt3781476/,,,384752329.0,43.0634169568,23.0,52.5366187543,8.0,6.35
379,tt3787590,We Are Your Friends,2015-08-28 00:00:00,"UK, France, USA",English,R,96.0,2015,5.9,7502,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,/wiki/We_Are_Your_Friends_(film),http://www.imdb.com/title/tt3787590/,http://www.rottentomatoes.com/m/we_are_your_friends/,,3590010.0,31.8781073878,31.3333333333,-0.23819301848,13.0,5.9
382,tt3792960,The Brand New Testament,2015-09-01 00:00:00,"Belgium, France, Luxembourg","French, German",,113.0,2015,7.1,1577,,,,,,,,,,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/The_Brand_New_Testament,http://www.imdb.com/title/tt3792960/,,,,65.2788224165,89.0,58.5571526352,15.0,7.1
384,tt3808342,Son of Saul,2015-12-18 00:00:00,Hungary,"Hungarian, Yiddish, German, Polish",R,107.0,2015,7.9,2558,"Grimly intense yet thoroughly rewarding, Son of Saul offers an unforgettable viewing experience -- and establishes director László Nemes as a talent to watch.",35.0,95.0,8.6,37.0,2.0,,,,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,/wiki/Son_of_Saul,http://www.imdb.com/title/tt3808342/,,,,37.9137577002,18.0,38.8281998631,4.0,7.9
385,tt3850590,Krampus,2015-12-04 00:00:00,USA,English,PG-13,,2015,,,,,,,,,,,,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,/wiki/Krampus_(film),http://www.imdb.com/title/tt3850590/,http://www.rottentomatoes.com/m/krampus/,,,47.7620707612,100.333333333,41.1006160164,6.0,
388,tt3862750,The Perfect Guy,2015-09-11 00:00:00,USA,English,PG-13,100.0,2015,5.0,2098,"The Perfect Guy threatens to tip into enjoyably depraved territory, but ultimately settles for timid thriller clichés.",7.0,19.0,3.9,37.0,30.0,57.0,3.4,16862.0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,/wiki/The_Perfect_Guy_(2015_film),http://www.imdb.com/title/tt3862750/,http://www.rottentomatoes.com/m/the_perfect_guy/,,54737351.0,44.4351026964,42.3333333333,46.46954141,9.0,5.9
391,tt3865478,11 Minutes,2015-10-23 00:00:00,"Poland, Ireland","Polish, English",,81.0,2015,5.9,226,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,/wiki/11_Minutes_(film),http://www.imdb.com/title/tt3865478/,,,,38.7605648085,36.0,77.4674880219,23.0,5.9
394,tt3921314,Muhammad: The Messenger of God,2015-08-29 00:00:00,Iran,"Arabic, English, Persian",,178.0,2015,8.6,2749,,,,,,,,,,0,0,0,0,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,/wiki/Muhammad:_The_Messenger_of_God_(film),http://www.imdb.com/title/tt3921314/,,,,35.8959616701,8.0,56.6570841889,17.0,8.6
395,tt4000870,Addicted to Fresno,2015-09-01 00:00:00,USA,English,NOT RATED,85.0,2015,5.5,752,,7.0,33.0,4.2,21.0,14.0,30.0,2.6,286.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Addicted_to_Fresno,http://www.imdb.com/title/tt4000870/,,,,37.7335532591,81.3333333333,44.7912388775,60.0,5.35
398,tt4010918,The Throne,2015-09-16 00:00:00,South Korea,Korean,,125.0,2015,7.2,148,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,/wiki/The_Throne_(film),http://www.imdb.com/title/tt4010918/,,,,38.4992089407,20.3333333333,55.9753593429,9.0,7.2
