,imdbID,Title,Released,Awards,Director,Actors,Country,Language,Rated,Runtime,Year,Metascore,imdbRating,imdbVotes,tomatoConsensus,tomatoFresh,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,Nominated Oscars,Won Oscars,Other wins,Other nominations,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,N/A,Romance,Sci-Fi,Sport,Thriller,War,Western,D_birthplace,D_DOB,D_name,D_credits,D_wins,D_age,A_birthplace,A_DOB,A_name,A_credits,A_wins,A_age,Director Nominated Oscars,Director Won Oscars,Actor Nominated Oscars,Actor Won Oscars,wiki_url_new,imdb_link_new,rt_link_new,budget_USD,box_USD
10,tt0810819,The Danish Girl,2015-12-25 00:00:00,4 wins & 2 nominations.,Tom Hooper,Alicia Vikander,"UK, Germany, USA","English, German",R,120.0,2015,67.0,5.3,"2,539",,,,,,,,4.1,304.0,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"London, England, UK",1972-10-1,Tom Hooper,18.0,"Won
        1
        Oscar.",43.1430527036,"Gothenburg, Västra Götalands län, Sweden",1988-10-3,Alicia Vikander,27.0,8 wins & 8 nominations.,27.1375770021,0,1,0,0,/wiki/The_Danish_Girl_(film),http://www.imdb.com/title/tt0810819/,http://www.rottentomatoes.com/m/The_Danish_Girl_2015/,,
11,tt0810819,The Danish Girl,2015-12-25 00:00:00,4 wins & 2 nominations.,Tom Hooper,Eddie Redmayne,"UK, Germany, USA","English, German",R,120.0,2015,67.0,5.3,"2,539",,,,,,,,4.1,304.0,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"London, England, UK",1972-10-1,Tom Hooper,18.0,"Won
        1
        Oscar.",43.1430527036,"London, England, UK",1982-1-6,Eddie Redmayne,24.0,"Won
        1
        Oscar.",33.87816564,0,1,0,1,/wiki/The_Danish_Girl_(film),http://www.imdb.com/title/tt0810819/,http://www.rottentomatoes.com/m/The_Danish_Girl_2015/,,
12,tt0884732,The Wedding Ringer,2015-01-16 00:00:00,1 win & 2 nominations.,Jeremy Garelick,Kevin Hart,USA,English,R,101.0,2015,35.0,6.7,"42,323","Kevin Hart and Josh Gad might be two great comedians that go great together, but there's little evidence of it on display in The Wedding Ringer.",25.0,27.0,4.3,93.0,68.0,65.0,3.6,39352.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"New York City, New York, USA",1975-11-30,Jeremy Garelick,5.0,1 win.,39.9808350445,"Philadelphia, Pennsylvania, USA",1979-7-6,Kevin Hart,63.0,8 wins & 13 nominations.,36.3832991102,0,0,0,0,/wiki/The_Wedding_Ringer,http://www.imdb.com/title/tt0884732/,http://www.rottentomatoes.com/m/the_wedding_ringer/,,64460211.0
13,tt0884732,The Wedding Ringer,2015-01-16 00:00:00,1 win & 2 nominations.,Jeremy Garelick,Kaley Cuoco,USA,English,R,101.0,2015,35.0,6.7,"42,323","Kevin Hart and Josh Gad might be two great comedians that go great together, but there's little evidence of it on display in The Wedding Ringer.",25.0,27.0,4.3,93.0,68.0,65.0,3.6,39352.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"New York City, New York, USA",1975-11-30,Jeremy Garelick,5.0,1 win.,39.9808350445,"Camarillo, California, USA",1985-11-30,Kaley Cuoco,55.0,7 wins & 25 nominations.,29.9794661191,0,0,0,0,/wiki/The_Wedding_Ringer,http://www.imdb.com/title/tt0884732/,http://www.rottentomatoes.com/m/the_wedding_ringer/,,64460211.0
14,tt0884732,The Wedding Ringer,2015-01-16 00:00:00,1 win & 2 nominations.,Jeremy Garelick,Josh Gad,USA,English,R,101.0,2015,35.0,6.7,"42,323","Kevin Hart and Josh Gad might be two great comedians that go great together, but there's little evidence of it on display in The Wedding Ringer.",25.0,27.0,4.3,93.0,68.0,65.0,3.6,39352.0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"New York City, New York, USA",1975-11-30,Jeremy Garelick,5.0,1 win.,39.9808350445,"Hollywood, Florida, USA",1981-2-23,Josh Gad,51.0,7 wins & 1 nomination.,34.7460643395,0,0,0,0,/wiki/The_Wedding_Ringer,http://www.imdb.com/title/tt0884732/,http://www.rottentomatoes.com/m/the_wedding_ringer/,,64460211.0
15,tt0900387,Suite Française,False,,Saul Dibb,Michelle Williams,"UK, France, Canada, Belgium","English, German, French",,107.0,2014,63.0,6.8,"6,940",,23.0,77.0,6.0,30.0,7.0,,,,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,"London, England, UK",1968-1-1,Saul Dibb,6.0,2 wins & 4 nominations.,47.8932238193,"Kalispell, Montana, USA",1980-9-9,Michelle Williams,44.0,"Nominated for
        3
        Oscars.",35.2032854209,0,0,3,0,/wiki/Suite_Fran%C3%A7aise_(film),http://www.imdb.com/title/tt0900387/,http://www.rottentomatoes.com/m/suite_francaise/,,
16,tt0900387,Suite Française,False,,Saul Dibb,Kristin Scott Thomas,"UK, France, Canada, Belgium","English, German, French",,107.0,2014,63.0,6.8,"6,940",,23.0,77.0,6.0,30.0,7.0,,,,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,"London, England, UK",1968-1-1,Saul Dibb,6.0,2 wins & 4 nominations.,47.8932238193,"Redruth, Cornwall, England, UK",1960-5-24,Kristin Scott Thomas,80.0,"Nominated for
        1
        Oscar.",55.498973306,0,0,1,0,/wiki/Suite_Fran%C3%A7aise_(film),http://www.imdb.com/title/tt0900387/,http://www.rottentomatoes.com/m/suite_francaise/,,
17,tt0900387,Suite Française,False,,Saul Dibb,Margot Robbie,"UK, France, Canada, Belgium","English, German, French",,107.0,2014,63.0,6.8,"6,940",,23.0,77.0,6.0,30.0,7.0,,,,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,"London, England, UK",1968-1-1,Saul Dibb,6.0,2 wins & 4 nominations.,47.8932238193,"Dalby, Queensland, Australia",1990-7-2,Margot Robbie,15.0,3 wins & 7 nominations.,25.3935660507,0,0,0,0,/wiki/Suite_Fran%C3%A7aise_(film),http://www.imdb.com/title/tt0900387/,http://www.rottentomatoes.com/m/suite_francaise/,,
18,tt1014763,Child 44,2015-04-17 00:00:00,,Daniel Espinosa,Joel Kinnaman,"USA, UK, Czech Republic, Romania, Russia",English,R,137.0,2015,41.0,6.4,"28,118","There's a gripping story at the heart of Child 44 and a solid performance from Tom Hardy in the lead, but it all still adds up to a would-be thriller that lacks sufficient thrills.",18.0,25.0,4.7,71.0,53.0,43.0,3.1,11248.0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,"Huddinge, Stockholms län, Sweden",1977-3-23,Daniel Espinosa,7.0,3 wins & 2 nominations.,38.6694045175,"Stockholm, Stockholms län, Sweden",1979-11-25,Joel Kinnaman,40.0,1 win & 1 nomination.,35.9945242984,0,0,0,0,/wiki/Child_44_(film),http://www.imdb.com/title/tt1014763/,,,1206135.0
19,tt1014763,Child 44,2015-04-17 00:00:00,,Daniel Espinosa,Tom Hardy,"USA, UK, Czech Republic, Romania, Russia",English,R,137.0,2015,41.0,6.4,"28,118","There's a gripping story at the heart of Child 44 and a solid performance from Tom Hardy in the lead, but it all still adds up to a would-be thriller that lacks sufficient thrills.",18.0,25.0,4.7,71.0,53.0,43.0,3.1,11248.0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,"Huddinge, Stockholms län, Sweden",1977-3-23,Daniel Espinosa,7.0,3 wins & 2 nominations.,38.6694045175,"Hammersmith, London, England, UK",1977-9-15,Tom Hardy,48.0,8 wins & 41 nominations.,38.1875427789,0,0,0,0,/wiki/Child_44_(film),http://www.imdb.com/title/tt1014763/,,,1206135.0
