imdbID,Title,Released,Awards,Director,Actors,Country,Language,Rated,Runtime,Year,Metascore,imdbRating,imdbVotes,tomatoConsensus,tomatoFresh,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,Nominated Oscars,Won Oscars,Other wins,Other nominations,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,N/A,Romance,Sci-Fi,Sport,Thriller,War,Western
tt0810819,The Danish Girl,2015-12-25 00:00:00,4 wins & 2 nominations.,Tom Hooper,Tusse Silberg,"UK, Germany, USA","English, German",R,120.0,2015,67,5.3,"2,539",N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.1,304,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0810819,The Danish Girl,2015-12-25 00:00:00,4 wins & 2 nominations.,Tom Hooper,Eddie Redmayne,"UK, Germany, USA","English, German",R,120.0,2015,67,5.3,"2,539",N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.1,304,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0884732,The Wedding Ringer,2015-01-16 00:00:00,1 win & 2 nominations.,Jeremy Garelick,Affion Crockett,USA,English,R,101.0,2015,35,6.7,"42,323","Kevin Hart and Josh Gad might be two great comedians that go great together, but there's little evidence of it on display in The Wedding Ringer.",25,27,4.3,93,68,65,3.6,39352,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
tt0884732,The Wedding Ringer,2015-01-16 00:00:00,1 win & 2 nominations.,Jeremy Garelick,Kevin Hart,USA,English,R,101.0,2015,35,6.7,"42,323","Kevin Hart and Josh Gad might be two great comedians that go great together, but there's little evidence of it on display in The Wedding Ringer.",25,27,4.3,93,68,65,3.6,39352,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
tt0884732,The Wedding Ringer,2015-01-16 00:00:00,1 win & 2 nominations.,Jeremy Garelick,Kaley Cuoco,USA,English,R,101.0,2015,35,6.7,"42,323","Kevin Hart and Josh Gad might be two great comedians that go great together, but there's little evidence of it on display in The Wedding Ringer.",25,27,4.3,93,68,65,3.6,39352,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
tt0884732,The Wedding Ringer,2015-01-16 00:00:00,1 win & 2 nominations.,Jeremy Garelick,Josh Gad,USA,English,R,101.0,2015,35,6.7,"42,323","Kevin Hart and Josh Gad might be two great comedians that go great together, but there's little evidence of it on display in The Wedding Ringer.",25,27,4.3,93,68,65,3.6,39352,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
tt0900387,Suite Française,False,N/A,Saul Dibb,Michelle Williams,"UK, France, Canada, Belgium","English, German, French",N/A,107.0,2014,63,6.8,"6,940",N/A,23,77,6.0,30,7,N/A,N/A,N/A,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
tt0900387,Suite Française,False,N/A,Saul Dibb,Eric Godon,"UK, France, Canada, Belgium","English, German, French",N/A,107.0,2014,63,6.8,"6,940",N/A,23,77,6.0,30,7,N/A,N/A,N/A,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
tt0900387,Suite Française,False,N/A,Saul Dibb,Kristin Scott Thomas,"UK, France, Canada, Belgium","English, German, French",N/A,107.0,2014,63,6.8,"6,940",N/A,23,77,6.0,30,7,N/A,N/A,N/A,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
tt0900387,Suite Française,False,N/A,Saul Dibb,Margot Robbie,"UK, France, Canada, Belgium","English, German, French",N/A,107.0,2014,63,6.8,"6,940",N/A,23,77,6.0,30,7,N/A,N/A,N/A,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
tt1014763,Child 44,2015-04-17 00:00:00,N/A,Daniel Espinosa,Joel Kinnaman,"USA, UK, Czech Republic, Romania, Russia",English,R,137.0,2015,41,6.4,"28,118","There's a gripping story at the heart of Child 44 and a solid performance from Tom Hardy in the lead, but it all still adds up to a would-be thriller that lacks sufficient thrills.",18,25,4.7,71,53,43,3.1,11248,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
tt1014763,Child 44,2015-04-17 00:00:00,N/A,Daniel Espinosa,Mark Lewis Jones,"USA, UK, Czech Republic, Romania, Russia",English,R,137.0,2015,41,6.4,"28,118","There's a gripping story at the heart of Child 44 and a solid performance from Tom Hardy in the lead, but it all still adds up to a would-be thriller that lacks sufficient thrills.",18,25,4.7,71,53,43,3.1,11248,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
tt1014763,Child 44,2015-04-17 00:00:00,N/A,Daniel Espinosa,Xavier Atkins,"USA, UK, Czech Republic, Romania, Russia",English,R,137.0,2015,41,6.4,"28,118","There's a gripping story at the heart of Child 44 and a solid performance from Tom Hardy in the lead, but it all still adds up to a would-be thriller that lacks sufficient thrills.",18,25,4.7,71,53,43,3.1,11248,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
tt1014763,Child 44,2015-04-17 00:00:00,N/A,Daniel Espinosa,Tom Hardy,"USA, UK, Czech Republic, Romania, Russia",English,R,137.0,2015,41,6.4,"28,118","There's a gripping story at the heart of Child 44 and a solid performance from Tom Hardy in the lead, but it all still adds up to a would-be thriller that lacks sufficient thrills.",18,25,4.7,71,53,43,3.1,11248,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
tt1018765,Our Brand Is Crisis,2015-10-30 00:00:00,N/A,David Gordon Green,Joaquim de Almeida,USA,"English, Spanish",R,107.0,2015,52,5.6,"1,443","Our Brand Is Crisis offers sporadic amusement and benefits from a talented cast, but ultimately lacks enough of a bite to add much of interest to the political satire genre.",37,33,5.3,113,76,43,3.1,5341,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
