imdbID,Title,Released,Awards,Director,Actors,Country,Language,Rated,Runtime,Year,Metascore,imdbRating,imdbVotes,tomatoConsensus,tomatoFresh,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,Nominated Oscars,Won Oscars,Othter wins,Othter nominations,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
tt0018674,The Barker,1928-12-09 00:00:00,N/A,George Fitzmaurice,Dorothy Mackaill,USA,English,N/A,80.0,1928,N/A,7.4,55,N/A,N/A,N/A,N/A,N/A,N/A,100,4.2,79,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
tt0018674,The Barker,1928-12-09 00:00:00,N/A,George Fitzmaurice,Milton Sills,USA,English,N/A,80.0,1928,N/A,7.4,55,N/A,N/A,N/A,N/A,N/A,N/A,100,4.2,79,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
tt0018806,The Crowd,1928-03-03 00:00:00,Nominated for 2 Oscars. Another 1 win.,King Vidor,Eleanor Boardman,USA,N/A,NOT RATED,98.0,1928,N/A,7.9,"5,375",N/A,22,96,9.1,23,1,N/A,N/A,N/A,2,0,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
tt0018806,The Crowd,1928-03-03 00:00:00,Nominated for 2 Oscars. Another 1 win.,King Vidor,Estelle Clark,USA,N/A,NOT RATED,98.0,1928,N/A,7.9,"5,375",N/A,22,96,9.1,23,1,N/A,N/A,N/A,2,0,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
tt0018806,The Crowd,1928-03-03 00:00:00,Nominated for 2 Oscars. Another 1 win.,King Vidor,Bert Roach,USA,N/A,NOT RATED,98.0,1928,N/A,7.9,"5,375",N/A,22,96,9.1,23,1,N/A,N/A,N/A,2,0,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
tt0018806,The Crowd,1928-03-03 00:00:00,Nominated for 2 Oscars. Another 1 win.,King Vidor,James Murray,USA,N/A,NOT RATED,98.0,1928,N/A,7.9,"5,375",N/A,22,96,9.1,23,1,N/A,N/A,N/A,2,0,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
tt0019071,The Last Command,1928-04-01 00:00:00,Won 1 Oscar. Another 1 win & 1 nomination.,Josef von Sternberg,Jack Raymond,USA,English,NOT RATED,88.0,1928,N/A,8.0,"2,140",N/A,15,100,8.1,15,0,91,4.0,602,0,1,1,1,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
tt0019071,The Last Command,1928-04-01 00:00:00,Won 1 Oscar. Another 1 win & 1 nomination.,Josef von Sternberg,Evelyn Brent,USA,English,NOT RATED,88.0,1928,N/A,8.0,"2,140",N/A,15,100,8.1,15,0,91,4.0,602,0,1,1,1,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
tt0019071,The Last Command,1928-04-01 00:00:00,Won 1 Oscar. Another 1 win & 1 nomination.,Josef von Sternberg,Emil Jannings,USA,English,NOT RATED,88.0,1928,N/A,8.0,"2,140",N/A,15,100,8.1,15,0,91,4.0,602,0,1,1,1,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
tt0019071,The Last Command,1928-04-01 00:00:00,Won 1 Oscar. Another 1 win & 1 nomination.,Josef von Sternberg,William Powell,USA,English,NOT RATED,88.0,1928,N/A,8.0,"2,140",N/A,15,100,8.1,15,0,91,4.0,602,0,1,1,1,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
tt0019217,The Noose,1928-01-29 00:00:00,N/A,John Francis Dillon,Jay Eaton,USA,English,N/A,65.0,1928,N/A,7.5,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0019217,The Noose,1928-01-29 00:00:00,N/A,John Francis Dillon,Robert Emmett O'Connor,USA,English,N/A,65.0,1928,N/A,7.5,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0019217,The Noose,1928-01-29 00:00:00,N/A,John Francis Dillon,Montagu Love,USA,English,N/A,65.0,1928,N/A,7.5,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0019217,The Noose,1928-01-29 00:00:00,N/A,John Francis Dillon,Richard Barthelmess,USA,English,N/A,65.0,1928,N/A,7.5,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0019344,Sadie Thompson,1928-01-07 00:00:00,N/A,Raoul Walsh,Florence Midgley,USA,N/A,UNRATED,97.0,1928,N/A,7.9,"1,967",N/A,5,83,6.8,6,1,73,3.5,475,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0019344,Sadie Thompson,1928-01-07 00:00:00,N/A,Raoul Walsh,Charles Lane,USA,N/A,UNRATED,97.0,1928,N/A,7.9,"1,967",N/A,5,83,6.8,6,1,73,3.5,475,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0019344,Sadie Thompson,1928-01-07 00:00:00,N/A,Raoul Walsh,Lionel Barrymore,USA,N/A,UNRATED,97.0,1928,N/A,7.9,"1,967",N/A,5,83,6.8,6,1,73,3.5,475,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0019344,Sadie Thompson,1928-01-07 00:00:00,N/A,Raoul Walsh,Blanche Friderici,USA,N/A,UNRATED,97.0,1928,N/A,7.9,"1,967",N/A,5,83,6.8,6,1,73,3.5,475,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0019412,Speedy,1928-04-07 00:00:00,N/A,Ted Wilde,Brooks Benedict,USA,English,NOT RATED,85.0,1928,N/A,7.8,"1,797",N/A,N/A,N/A,N/A,N/A,N/A,91,3.9,654,0,0,0,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
tt0019412,Speedy,1928-04-07 00:00:00,N/A,Ted Wilde,Bert Woodruff,USA,English,NOT RATED,85.0,1928,N/A,7.8,"1,797",N/A,N/A,N/A,N/A,N/A,N/A,91,3.9,654,0,0,0,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
