,imdbID,Title,Released,Director,Actors,Country,Language,Rated,Runtime,Year,imdbRating,imdbVotes,tomatoConsensus,tomatoFresh,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,Nominated Oscars,Won Oscars,Othter wins,Othter nominations,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,bp_n,bp_w,fl_n,fl_w,fs_n,fs_w,ml_n,ml_w,ms_n,ms_w,movie_url,imdb_link,rt_link,budget_USD,box_USD,A_mean_age,A_mean_credit,D_mean_age,D_mean_credit,mean_rate,Anominated,Awon,Dnominated,Dwon
11,tt0019071,The Last Command,1928-04-01 00:00:00,Josef von Sternberg,Emil Jannings,USA,English,NOT RATED,88.0,1928,8.0,2140,,15.0,100.0,8.1,15.0,0.0,91.0,4.0,602.0,0,1,1,1,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,/wiki/The_Last_Command_(1928_film),http://www.imdb.com/title/tt0019071/,,,444533821.264,34.8471590324,102.0,33.839835729,35.0,8.0,3,1,2,0
12,tt0019071,The Last Command,1928-04-01 00:00:00,Josef von Sternberg,William Powell,USA,English,NOT RATED,88.0,1928,8.0,2140,,15.0,100.0,8.1,15.0,0.0,91.0,4.0,602.0,0,1,1,1,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,/wiki/The_Last_Command_(1928_film),http://www.imdb.com/title/tt0019071/,,,444533821.264,34.8471590324,102.0,33.839835729,35.0,8.0,3,1,2,0
13,tt0019217,The Noose,1928-01-29 00:00:00,John Francis Dillon,Richard Barthelmess,USA,English,,65.0,1928,7.5,35,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,/wiki/The_Noose_(film),http://www.imdb.com/title/tt0019217/,,,242699142.537,32.7227926078,80.0,43.5427789185,13.0,7.5,2,0,0,0
14,tt0019344,Sadie Thompson,1928-01-07 00:00:00,Raoul Walsh,Lionel Barrymore,USA,,UNRATED,97.0,1928,7.9,1967,,5.0,83.0,6.8,6.0,1.0,73.0,3.5,475.0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,/wiki/Sadie_Thompson,http://www.imdb.com/title/tt0019344/,http://www.rottentomatoes.com/m/sadie_thompson/,9010075.73099,13861654.9708,49.6919917864,221.0,40.8240930869,13.0,7.45,0,1,0,0
15,tt0019412,Speedy,1928-04-07 00:00:00,Ted Wilde,Ann Christy,USA,English,NOT RATED,85.0,1928,7.8,1797,,,,,,,91.0,3.9,654.0,0,0,0,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Speedy_(film),http://www.imdb.com/title/tt0019412/,,,36733385.6725,33.3716980475,118.0,38.3052703628,9.0,7.8,0,0,1,0
16,tt0019412,Speedy,1928-04-07 00:00:00,Ted Wilde,Harold Lloyd,USA,English,NOT RATED,85.0,1928,7.8,1797,,,,,,,91.0,3.9,654.0,0,0,0,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Speedy_(film),http://www.imdb.com/title/tt0019412/,,,36733385.6725,33.3716980475,118.0,38.3052703628,9.0,7.8,0,0,1,0
17,tt0019557,Weary River,1929-02-10 00:00:00,Frank Lloyd,Richard Barthelmess,USA,English,PASSED,86.0,1929,6.8,260,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Weary_River,http://www.imdb.com/title/tt0019557/,,,55446619.883,27.9517218102,121.0,43.0198494182,13.0,6.8,3,1,0,2
18,tt0019557,Weary River,1929-02-10 00:00:00,Frank Lloyd,Betty Compson,USA,English,PASSED,86.0,1929,6.8,260,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Weary_River,http://www.imdb.com/title/tt0019557/,,,55446619.883,27.9517218102,121.0,43.0198494182,13.0,6.8,3,1,0,2
19,tt0019557,Weary River,1929-02-10 00:00:00,Frank Lloyd,William Holden,USA,English,PASSED,86.0,1929,6.8,260,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Weary_River,http://www.imdb.com/title/tt0019557/,,,55446619.883,27.9517218102,121.0,43.0198494182,13.0,6.8,3,1,0,2
20,tt0019729,The Broadway Melody,1929-06-06 00:00:00,Harry Beaumont,Charles King,USA,English,PASSED,100.0,1929,6.4,4247,"The Broadway Melody is interesting as an example of an early Hollywood musical, but otherwise, it's essentially bereft of appeal for modern audiences.",8.0,42.0,5.4,19.0,11.0,22.0,2.8,1717.0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,/wiki/The_Broadway_Melody,http://www.imdb.com/title/tt0019729/,http://www.rottentomatoes.com/m/broadway_melody/,,38923527.1579,28.7244464365,65.6666666667,41.3169062286,99.0,6.0,1,0,1,0
